episode,steps,total_reward,csr,blackout_kwh,diesel_kwh,renewable_kwh,total_demand_kwh,hilp_scenario
1,96,-2023.9559253441203,0.994408900783314,1.1583506948361872,436.09946202486753,137.70729765738568,345.29605298937184,None
2,96,-2604.906422314091,0.9751395255367752,5.793661351764123,461.3467900082469,142.0891946811725,388.41182485169895,None
3,96,-1883.1229780319302,1.0,0.0,442.1367564238608,165.24334941007348,336.3401046815948,None
4,96,-2056.183139252599,1.0,0.0,457.7077092602849,117.74191402051018,296.6211285103077,None
5,96,-1897.7692953165042,1.0,0.0,436.6624371148646,144.29844680934258,296.1247871895842,None
6,96,-1675.853979219656,1.0,0.0,411.15727042779326,191.4564947809229,297.53553284157425,None
7,96,-1492.2107128640143,1.0,0.0,387.3532057739794,223.73415911283956,294.9805619040322,None
8,96,-1797.0775916578427,1.0,0.0,421.6013486497104,156.95702735063668,295.84528499010094,None
9,96,-1804.93709852824,1.0,0.0,435.4220759123564,187.5349809267652,342.8372031085682,None
10,96,-1877.2328023386115,1.0,0.0,444.8407725431025,174.95348218731021,341.6426451763065,None
